mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
SingleUseConsts,expand-reductions,4.608381900727428,4.042516203053144,4.0517695746222495,5.238846116240374,-0.3879570266465071,0.6784414975439692,-32.15585024560308,-12.27905390360472,-12.078259530038482,13.680815286021053,-0.45488602531655503,-0.3186568516895898,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.3879570266465071,1,extreme,4.002331044397798e-05,True,False,negative_interaction
Inline,block-placement,4.608381900727428,4.032736475840372,4.495956741145725,5.078305296015539,-0.2552307378058826,0.7747377160552646,-22.526228394473534,-12.491269979082919,-2.439579922053714,10.197145232558391,-0.296483163903186,-0.21543663109813366,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2552307378058826,2,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,strictnode-mutation,4.608381900727428,4.0386209922575675,4.037987890494971,4.351716041462414,-0.20679724116761858,0.8131845136157192,-18.68154863842808,-12.363578382684059,-12.377316431661656,-5.569544035065766,-0.24828364499513664,-0.1669730613675554,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20679724116761858,3,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,cgp-store-extract,4.608381900727428,4.03914107781532,4.0504146999663115,4.364761315852082,-0.20658896835709206,0.8133538954780526,-18.66461045219474,-12.352292739068659,-12.107659755217826,-5.2864669231708294,-0.24842375430144797,-0.16669355982300796,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20658896835709206,4,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,postra-machine-sink,4.608381900727428,4.03914107781532,3.9834147701136526,4.28990983213292,-0.20597101354087113,0.8138566667640247,-18.61433332359753,-12.352292739068659,-13.561530794900612,-6.910713466352226,-0.2474058242674552,-0.16618016549117384,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20597101354087113,5,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,whole-program-visibility,4.608381900727428,4.0386209922575675,4.033585162021092,4.342327730386153,-0.2057284514560834,0.8140541014779533,-18.594589852204667,-12.363578382684059,-12.472853836519182,-5.7732665406762145,-0.24699640358197592,-0.1660937875501526,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2057284514560834,6,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,nofree-inference,4.608381900727428,4.03914107781532,4.052515327402137,4.360743742757238,-0.20514960203799015,0.8145254526283986,-18.54745473716014,-12.352292739068659,-12.062077000119032,-5.3736466140339,-0.246070816440836,-0.16539428131181896,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20514960203799015,7,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,whole-program-visibility,4.608381900727428,4.03914107781532,4.033585162021092,4.338870488597951,-0.2048031921592688,0.8148076611687501,-18.519233883124986,-12.352292739068659,-12.472853836519182,-5.848287271654606,-0.2457650649249814,-0.16522955608051662,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2048031921592688,8,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,dfa-sched,4.608381900727428,4.0386209922575675,4.0364409953770695,4.341080492712208,-0.20473341917123875,0.8148645147173376,-18.513548528266245,-12.363578382684059,-12.410883422228503,-5.800331087426325,-0.24612395412228882,-0.1653094042042317,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20473341917123875,9,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,thinlto-funcattrs,4.608381900727428,4.03914107781532,4.038763095387848,4.343170867567852,-0.20451094825624047,0.815045818538192,-18.495418146180796,-12.352292739068659,-12.360494802951704,-5.754970809118776,-0.2455756316684578,-0.1650764011731899,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20451094825624047,10,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,preheader-prot,4.608381900727428,4.03914107781532,4.068898899596406,4.374107143080993,-0.20417472804161899,0.8153198994914238,-18.468010050857618,-12.352292739068659,-11.706560192979342,-5.0836662996496695,-0.24538207757654115,-0.1646360136282655,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20417472804161899,11,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,global-outlining,4.608381900727428,4.03914107781532,4.044169895486079,4.346598974259757,-0.20396211513760987,0.8154932654522182,-18.450673454778176,-12.352292739068659,-12.243169455037762,-5.680582297798498,-0.24454285799002015,-0.16417864317419792,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20396211513760987,12,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,auto-upgrade-debug-info,4.608381900727428,4.03914107781532,4.041735820039227,4.342587541211451,-0.20364085283477898,0.8157552947844402,-18.424470521555982,-12.352292739068659,-12.29598789542068,-5.767628752166187,-0.2447565014308069,-0.16426015027090335,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20364085283477898,13,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,strictnode-mutation,4.608381900727428,4.03914107781532,4.037987890494971,4.3382067749581825,-0.2035592890879309,0.8158218335563329,-18.417816644366713,-12.352292739068659,-12.377316431661656,-5.862689585830527,-0.24496437630138726,-0.16384364455730274,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2035592890879309,14,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,dfa-sched,4.608381900727428,4.03914107781532,4.0364409953770695,4.336370471854014,-0.2035190722888074,0.8158546439588938,-18.414535604110615,-12.352292739068659,-12.410883422228503,-5.902536611179688,-0.24459009540869173,-0.1639742843452266,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2035190722888074,15,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,ifcvt-triangle-false,4.608381900727428,4.03914107781532,4.042590523574662,4.339770179712992,-0.20278042039332492,0.8164574991607508,-18.354250083924917,-12.352292739068659,-12.277441178723848,-5.828764342903881,-0.24445002119021988,-0.16316268249378113,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20278042039332492,16,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,2addr-hack,4.608381900727428,4.0386209922575675,4.052829246575497,4.350002536767957,-0.20273471420643432,0.8164948171726212,-18.35051828273788,-12.363578382684059,-12.055265082614753,-5.606726385213134,-0.24388196444495705,-0.16295509215517093,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20273471420643432,17,extreme,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,early-taildup,4.608381900727428,4.03914107781532,3.4528166258275013,3.7049224591616134,-0.202316751438256,0.8168361529344608,-18.316384706553922,-12.352292739068659,-25.075293232913765,-19.60469989310575,-0.24383251298922032,-0.16299141775398923,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.202316751438256,18,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,sample-loader-inlining,4.608381900727428,4.03914107781532,4.048657206266844,4.344142079490254,-0.20228774988075457,0.8168598427986392,-18.31401572013608,-12.352292739068659,-12.145796648759354,-5.733895908137843,-0.24381257718841198,-0.16287705950991135,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20228774988075457,19,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,cgp-gc-opts,4.608381900727428,4.03914107781532,4.048425321711616,4.34370717450639,-0.20224490797047676,0.8168948393843889,-18.31051606156111,-12.352292739068659,-12.150828448645356,-5.743333168183396,-0.24295530556189893,-0.16285839222392642,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20224490797047676,20,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,vp,4.608381900727428,4.03914107781532,4.052289987877145,4.3474862062070665,-0.2021603768549085,0.8169638953351112,-18.303610466488884,-12.352292739068659,-12.066966775529298,-5.661329727885178,-0.24356605397032197,-0.1629393400206568,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2021603768549085,21,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,complex-addr-modes,4.608381900727428,4.03914107781532,4.046448769119115,4.341092171932684,-0.20213105249322175,0.8169878526311275,-18.30121473688725,-12.352292739068659,-12.193718830455714,-5.800077653124902,-0.24352210167654886,-0.1623847790604992,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20213105249322175,22,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,partial-libcall-inlining,4.608381900727428,4.03914107781532,4.05442296680892,4.3488965877694765,-0.2019585120015698,0.8171288282785482,-18.287117172145184,-12.352292739068659,-12.020682006217132,-5.6307250255668295,-0.24333803977234028,-0.16253212008616305,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2019585120015698,23,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,binop-extract-shuffle,4.608381900727428,4.03914107781532,4.047802836639589,4.341503632836309,-0.20189125570591893,0.8171837871847532,-18.281621281524686,-12.352292739068659,-12.164336119785412,-5.791149120019612,-0.24331004129021647,-0.16236507402287448,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20189125570591893,24,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,expand-reductions,4.608381900727428,4.03914107781532,4.0517695746222495,4.3456693009661445,-0.20187080135844182,0.8172005023168369,-18.279949768316307,-12.352292739068659,-12.078259530038482,-5.700755827545779,-0.2432581578216116,-0.16200133313879292,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20187080135844182,25,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,last-run-tracking,4.608381900727428,4.03914107781532,4.043858220421328,4.33712815306402,-0.20185790475030982,0.8172110414994402,-18.278895850055974,-12.352292739068659,-12.249932676304265,-5.886095239211652,-0.24348908781016418,-0.16214435709587344,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20185790475030982,26,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,ondemand-mds-loading,4.608381900727428,4.03914107781532,4.0497329408419205,4.342806539646288,-0.20171460167551744,0.8173281587458717,-18.26718412541283,-12.352292739068659,-12.12245364901997,-5.762876575815456,-0.2431969686004913,-0.16236376051025275,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20171460167551744,27,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,ifcvt-simple,4.608381900727428,4.03914107781532,4.052688140551232,4.3454271810526865,-0.20158840293576627,0.8174313110381763,-18.256868896182365,-12.352292739068659,-12.058327025554917,-5.706009730513761,-0.24243567387143042,-0.16171179445532338,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20158840293576627,28,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,cgp-gc-opts,4.608381900727428,4.0386209922575675,4.048425321711616,4.339667576636291,-0.20144325644287972,0.8175499669371847,-18.245003306281525,-12.363578382684059,-12.150828448645356,-5.830990787649815,-0.24244593884883045,-0.16154559606368027,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20144325644287972,29,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,cgp,4.608381900727428,4.0386209922575675,3.929774409802125,4.212087830406621,-0.2013499268976696,0.8176262720644916,-18.237372793550843,-12.363578382684059,-14.725504646613308,-8.599419033788248,-0.24214894101697446,-0.1618372844775009,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2013499268976696,30,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,phi-elim-edge-splitting,4.608381900727428,4.03914107781532,3.972823545122481,4.258345057996496,-0.20124827128093567,0.8177093925921988,-18.229060740780124,-12.352292739068659,-13.791356039841784,-7.595656138560914,-0.24243570749787408,-0.16158069238898,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20124827128093567,31,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,preinline,4.608381900727428,4.03914107781532,4.061080022885106,4.352745512027359,-0.20120257732436478,0.8177467578233476,-18.22532421766524,-12.352292739068659,-11.876226615592156,-5.547204945399997,-0.24236203785765847,-0.16156659113066854,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20120257732436478,32,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,mergeicmps,4.608381900727428,4.03914107781532,4.0510523964782195,4.341478382239118,-0.2010829656840205,0.8178445757043991,-18.215542429560095,-12.352292739068659,-12.093822002061838,-5.7916970476379115,-0.2422381011162332,-0.16148318458972583,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2010829656840205,33,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,tail-calls,4.608381900727428,4.03914107781532,4.058097042545449,4.348540331738788,-0.20097081071735698,0.8179363061794411,-18.206369382055886,-12.352292739068659,-11.940956067358854,-5.638455635537154,-0.24221712202136933,-0.16131452465720791,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20097081071735698,34,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,type-promotion,4.608381900727428,4.03914107781532,4.046891220492599,4.336101071811614,-0.200871320153969,0.8180176871716117,-18.19823128283883,-12.352292739068659,-12.184117816845841,-5.908382481773811,-0.24245062361232766,-0.1614623435192053,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.200871320153969,35,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,ifcvt-simple-false,4.608381900727428,4.03914107781532,4.058770976292546,4.348653137130234,-0.20083069377489338,0.8180509209433406,-18.194907905665936,-12.352292739068659,-11.926331981039306,-5.636007804739373,-0.24148000169193656,-0.16104659603852103,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20083069377489338,36,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachableEnumBranching,peephole,4.608381900727428,4.0386209922575675,4.03452039184135,4.322031283617306,-0.20081156619322757,0.8180665684287866,-18.193343157121344,-12.363578382684059,-12.45255973241921,-6.213691123665843,-0.2420257910623409,-0.16131699537401104,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20081156619322757,37,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,postra-machine-licm,4.608381900727428,4.03914107781532,4.054981073014771,4.344091966275967,-0.20071546614523786,0.8181451884429044,-18.18548115570956,-12.352292739068659,-12.008571330108387,-5.7349833443652525,-0.241943655132826,-0.16121516713728617,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20071546614523786,38,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,loop-level-heuristics,4.608381900727428,4.03914107781532,4.055730943346686,4.344872006329347,-0.20071010482301244,0.8181495747946451,-18.18504252053549,-12.352292739068659,-11.99229945099618,-5.718056794652515,-0.24164066494762043,-0.16113184331896982,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20071010482301244,39,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,cgdata-for-merging,4.608381900727428,4.03914107781532,4.055421751290495,4.344294722011669,-0.2006534690747904,0.8181959126201475,-18.180408737985253,-12.352292739068659,-11.99900879199377,-5.7305836279340046,-0.24134971578098152,-0.16115587932583725,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.2006534690747904,40,strong,4.002331044397798e-05,True,False,negative_interaction
UnreachablePropagation,promote-alloca-to-vector,4.608381900727428,4.03914107781532,4.072032248744397,4.360950657202833,-0.20039260823990368,0.8184093757298865,-18.159062427011353,-12.352292739068659,-11.638567799651533,-5.369156655301044,-0.24143034232253374,-0.16072695622896296,3.999920001599968e-05,90,30,30,30,3,"B,L,S",0.20039260823990368,41,strong,4.002331044397798e-05,True,False,negative_interaction
