mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
MatchBranchSimplification,ifcvt-triangle,10.851320827656878,10.823980751116112,10.840993444138704,15.275337492442453,-0.34542765662517017,0.7079175430956052,-29.208245690439483,-0.2519516008694711,-0.09517167248295211,40.769384068988515,-0.3705147664884482,-0.3203635673049669,3.999920001599968e-05,20,10,10,10,0.34542765662517017,1,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-simple,10.851320827656878,10.823980751116112,10.846317986297462,15.184618431628808,-0.3389799992423068,0.7124966994205248,-28.750330057947515,-0.2519516008694711,-0.0461035245282182,39.93336546577453,-0.37810154532003887,-0.3022913824927198,3.999920001599968e-05,20,10,10,10,0.3389799992423068,2,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-forked-diamond,10.851320827656878,10.823980751116112,10.865153451552203,15.098843287469595,-0.3315800956550392,0.7177886621611786,-28.221133783882134,-0.2519516008694711,0.12747410306097606,39.14290736835475,-0.36752101520167973,-0.29534501160225685,3.999920001599968e-05,20,10,10,10,0.3315800956550392,3,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,early-taildup,10.851320827656878,10.823980751116112,10.855132277748451,14.965510303151541,-0.32363294669208953,0.7235157625007933,-27.64842374992067,-0.2519516008694711,0.03512429640695203,37.91418151612278,-0.35466881323426486,-0.29432145835375256,3.999920001599968e-05,20,10,10,10,0.32363294669208953,4,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-diamond,10.851320827656878,10.823980751116112,10.82927316442127,14.892893576689481,-0.3211539077519867,0.7253116113196681,-27.468838868033185,-0.2519516008694711,-0.20317953533742772,37.24498439610968,-0.3547947275729633,-0.2850791324997335,3.999920001599968e-05,20,10,10,10,0.3211539077519867,5,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-triangle-rev,10.851320827656878,10.823980751116112,10.840952014514329,14.901485071617818,-0.32065275617900335,0.7256751934718583,-27.432480652814174,-0.2519516008694711,-0.09555346586124225,37.32415904281665,-0.3607170414841997,-0.28347376235658656,3.999920001599968e-05,20,10,10,10,0.32065275617900335,6,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-triangle-false,10.851320827656878,10.823980751116112,10.854941885146603,14.647964870546735,-0.3022036548821423,0.7391875104141608,-26.081248958583924,-0.2519516008694711,0.03336973947445365,34.98785173887138,-0.3348011088241455,-0.2667527839578769,3.999920001599968e-05,20,10,10,10,0.3022036548821423,7,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,tail-calls,10.851320827656878,10.823980751116112,10.831551215341992,14.601421136131467,-0.30117827346270776,0.7399458482791522,-26.005415172084778,-0.2519516008694711,-0.1821862299426047,34.55892944310217,-0.3341912854541845,-0.2610773532412388,3.999920001599968e-05,20,10,10,10,0.30117827346270776,8,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,tail-duplicate,10.851320827656878,10.823980751116112,10.832849870516855,14.427034769984393,-0.2890433840197759,0.7489797109472129,-25.102028905278708,-0.2519516008694711,-0.17021851471706873,32.95187746374668,-0.32573780405367847,-0.2485194437241839,3.999920001599968e-05,20,10,10,10,0.2890433840197759,9,extreme,0.004426578135103965,True,False,negative_interaction
MatchBranchSimplification,ifcvt-simple-false,10.851320827656878,10.823980751116112,10.83310306224993,13.428150219150403,-0.2172694167448852,0.8047131369032623,-19.52868630967377,-0.2519516008694711,-0.16788523439945635,23.746688835574137,-0.2775426929923982,-0.15541682015887662,3.999920001599968e-05,20,10,10,10,0.2172694167448852,10,extreme,0.004426578135103965,True,False,negative_interaction
JumpThreading,auto-upgrade-debug-info,10.851320827656878,10.841138817228083,10.82623911218538,13.417329253711557,-0.21551312478282592,0.8061276899378249,-19.387231006217508,-0.09383199142763976,-0.23113974667093862,23.646968574688778,-0.24792096139852995,-0.18291686226608106,3.999920001599968e-05,20,10,10,10,0.21551312478282592,11,extreme,0.004426578135103965,True,False,negative_interaction
